,Tira orthography (singular form),Tira orthography (plural form),Tira orthography (singular object form),Tira orthography (plural object form),Translation equivalent,Have we recorded this one already?,In our database?,COMMENTS,Noun class (based on agreement),SG subject tone,SG subject form,Source for SG subject form,Transcription checked with recording?,Number of syllables of stem,PL subject form,Source for PL subject form,Transcription checked with recording?.1,SG object tone,SG object suffix,Stem tone change,Hiatus (stem-ACC),SG object form,Source for SG object form,Transcription checked with recording?.2,PL object form,Source for PL object form,Transcription checked with recording?.3,SG citation form,Source for SG citation form,Transcription checked with recording?.4,PL citation form,Source for PL citation form,Transcription checked with recording?.5,Gloss
222,zirov,zirove,irov,,sheaf/bundle of grass (for building roof of house),yes,,,ð/j,LH,"ðə̀ɾɔ́v, ðɾɔ́v",HH20230717-1,yes,2,ìɾɔ́v,HH20230717-1,yes,LL-H,ɛ,yes (LH->LL),no,ðə̀ɾɔ̀v-ɛ́,HH20230717-1,yes,ìɾɔ̀v-ɛ́,HH20230717-1,yes,,,,,,,sheaf/grass.bundle.for.roof
223,zittro,no number distinction,zittre,no number distinction,Tira language,yes,in preparation for a Kwaras run,,ð,LH,ðìt̪rɔ́,HH20220326-5,yes,2,no number distinction,HH20220326-5,yes,L-H,ɛ,no,yes,ðìt̪ɾ-ɛ́,HH20220828,yes,no number distinction,,,ðə̀t̪rɔ̀,HH20210521,,,,,Tira.language
224,aprri,no number distinction,aprrinya,no number distinction,boy,yes,has gaps,"see also ""amal""",j/n,LH,àprí,< HH04232021:34:28.5 >,yes,2,no number distinction,,,LH-H,ɲa,no,no,àprí-ɲá,< HH02262021:34:23.1 >,yes,no number distinction,,,àprì,< HH01082021:02:27.5 >,yes,nàprì,HH20210108,,boy
225,lede,ngede,ledenya,ngedenya,"coconut, doleib fruit",yes,in preparation for a Kwaras run,also lɛ̀dɛ́ (HH20210707); doleib fruit?,l/ŋ,LH,lèdé,HH20220326-2,yes,2,ŋèdé,HH20220326-2,yes,LH-H,ɲa,no,no,lèdé-ɲá,HH20220714,yes,ŋèdé-ɲá,HH20220714,yes,lɛ̀dɛ̀,HH20200917,,,,,coconut/doleib
226,ttuli,no number distinction,ttulinya,no number distinction,lion,yes,check eaf file status,,t̪,LH,t̪òlé,HH08212020-2,yes,2,no number distinction,HH08212020-2,,LL-H,ɲa,yes (LH->LL),no,t̪òːlè-ɲá,HH08212020-2,yes,no number distinction,HH08212020-2,,t̪òːlè,HH08212020-2,,no number distinction,HH08212020-2,,lion
227,Uji,liji,uji,liji,"person, people",yes,check eaf file status,,k/l,LH,ùʝí,HH20210226,yes,2,lìʝí,HH20211012,yes,LH,Ø,no,N.A.,ùʝí,HH20210226,yes,lìʝí,,,,,,,,,person
228,lubu,ngubu,lubu,ngubu,ball,yes,check eaf file status,,l,LH,lə̀bó,HH20210409,yes,2,ŋə̀bó,HH20230703,yes,LH,Ø,no,N.A.,lə̀bó,HH20220306-1,yes,,,,lə̀bò,HH20210409,,,,,ball
229,zuhu,rruhu,zuhu,rruhu,ostrich,yes,check eaf file status,,ð,LH,ðùɽú,HH20210728,yes,2,rùɽú,HH20230703,yes,LH,Ø,no,N.A.,ðùɽú,HH20210728,yes,,,,ðə́ɽʊ́,HH20211005,,,,,ostrich
230,nguhun,nguhun,nguhune,nguhune,black squirrel,yes,check eaf file status,,ŋ/ɲ,LH,ŋòɽón,HH20211004,yes,2,ɲòɽón,HH20211004,yes,LH,Ø,no,N.A.,ŋòɽón,HH20211004,yes,ɲòɽón,HH20211004,yes,ŋòɽón,HH20210913,,,,,black.squirrel
231,uzo,lizo,uzo,lizo,worm,yes,in preparation for a Kwaras run,,k/l,LH,ùðɔ́,HH20220206-1,yes,2,lə̀ðɔ́,HH20220206-1,yes,LH,Ø,no,N.A.,ùðɔ́,HH20220224,yes,lə̀ðɔ́,HH20220224,yes,,,,,,,worm
232,diyo,irro,diyo,irro,cow,yes,in preparation for a Kwaras run,,r/j,LH,ɖìjɔ́,HH20220326-2,yes,2,ìrɔ́,HH20220326-2,yes,LH,Ø,no,N.A.,dìjɔ́,HH20220719-2,yes,ìrɔ́,HH20220719-2,yes,ɖijo,< HH20210305:31:03.1 >,yes,irɔ,< HH20210305:31:05.0 >,yes,cow
233,cumu,no number distinction,cumu,no number distinction,scorpion,yes,in preparation for a Kwaras run,,tʃ,LH,tʃʊ̀mú,HH20220326-2,yes,2,no number distinction,HH20220326-2,yes,LH,Ø,no,N.A.,tʃʊ̀mú,HH20220719-2,yes,nàltʃʊ̀mú,HH20220719-2,yes,,,,,,,scorpion
234,ili,nili,ili,nili,market,yes,in preparation for a Kwaras run,,j/n,LH,ìlí,HH20220326-3,yes,2,nìlí,HH20220719-2,yes,LH,Ø,no,N.A.,ìlí,HH20220719-2,yes,nìlí,HH20220719-2,yes,,,,,,,market
235,iri,ndri,iri,ndri,name,yes,in preparation for a Kwaras run,,k/n,LH,ìɾí,HH20220326-3,yes,2,ǹdrí,HH20220326-3,yes,LH,Ø,no,N.A.,ìrí,HH20220719-2,yes,ǹdrí,HH20220719-2,yes,,,,nrí,HH20201217,,name
236,lutu,ngutu,lutu,ngutu,fist/small house (hut),yes,in preparation for a Kwaras run,,l/ŋ,LH,lʊ̀ʈú,HH20220326-3,yes,2,ŋʊ̀ʈú,HH20220326-3,yes,LH,Ø,no,N.A.,lʊ̀ʈú,HH20220726-1,yes,ŋʊ̀ʈú,HH20220726-1,yes,,,,,,,fist/hut
237,ngula,no number distinction,ngula,no number distinction,family,yes,in preparation for a Kwaras run,,ŋ,LH,ŋùlá,HH20220326-4,yes,2,no number distinction,HH20220326-4,yes,LH,Ø,no,N.A.,ŋùlá,HH20220726-1,yes,no number distinction,,,,,,,,,family
238,ulo,no number distinction,ulo,no number distinction,flour,yes,in preparation for a Kwaras run,,k,LH,ùlɔ́,HH20220326-4,yes,2,no number distinction,HH20220326-4,yes,LH,Ø,no,N.A.,ùlɔ́,HH20220726-1,yes,no number distinction,,,,,,,,,flour
239,Uho,lto,uho,lto,guinea fowl,yes,in preparation for a Kwaras run,,k/l,LH,ùɽɔ́,HH20220326-4,yes,2,lʈɔ́,HH20220326-4,yes,LH,Ø,no,N.A.,ùɽɔ́,HH20220726-1,yes,lʈɔ́,HH20220726-8,yes,uɽo,HH20200917,,,,,guinea.fowl
240,nizu,azu,,,breast,yes,,,j/n,LH,ɜ̀ðú,HH20230414,yes,2,"nìðú, nɜ̀ðú",HH20230414,yes,LH,Ø,no,N.A.,ɜ̀ðú,HH20230414,yes,"nìðú, nɜ̀ðú",HH20230414,yes,,,,,,,breast
241,lura,ngura,lura,ngura,charcoal,yes,,,,LH,lòɾá,HH20230414,yes,2,ŋòɾá,HH20230414,,LH,Ø,no,N.A.,lòɾá,HH20230414,yes,ŋòɾá,HH20230414,yes,,,,,,,charcoal
242,zedu,rredu,zedu,rredu,kigelia africana (sausage tree),yes,,,ð/r,LH,ðɛ̀dú,HH20230420-4,yes,2,rɛ̀dú,HH20230420-4,yes,LH,Ø,no,N.A.,ðɛ̀dú,HH20230420-4,yes,rɛ̀dú,HH20230420-4,yes,,,,,,,kigelia.africana
243,ludu,ngudu,lugdu,ngudu,sheaf/bundle of grass (general),yes,check eaf file status,recheck vowels,l/ŋ,LH,lʊ̀ɖó,HH20230717-1,yes,2,ŋʊ̀dó,HH20230717-1,yes,LH,Ø,no,N.A.,lʊ̀ɖó,HH20230717-1,yes,ŋʊ̀dó,HH20230717-1,yes,lʊ̀dʊ̀,HH20201111,,,,,sheaf/grass.bundle
