nom.sg,nom.pl,acc.sg,acc.pl,translation,gloss,noun_class,root,part_of_speech,comment
ŋìðɛ̀ní,ɲìðɛ̀ní,ŋìðɛ̀nɔ́,ɲìðɛ̀nɔ́,"rabbit, hare",rabbit/hare,ŋ/ɲ,ŋìðɛ̀ní,noun,
ðə̀ŋɛ̀ɾɔ̀,èŋɛ̀ɾɔ̀,ðə̀ŋɛ̀ɾà,èŋɛ̀ɾà,story,story,ð/j,ðə̀ŋɛ̀ɾɔ̀,noun,
ðɔ̀mɔ̀cɔ̀,rɔ̀mɔ̀cɔ̀,ðɔ̀mɔ̀cà,rɔ̀mɔ̀cà,man/male,man/male,ð/r,ðɔ̀mɔ̀cɔ̀,noun,
ɛ̀vàɾtɔ̀,lɛ̀vàɾt̪ɔ̀,ɛ̀vàɾt̪à,,teacher,teacher,k/l,ɛ̀vàɾtɔ̀,noun,
lə̀vàvɾì,ŋə̀vàvɾì,lə̀vàvɾà,,bicycle,bicycle,l/,lə̀vàvɾì,noun,
àdə̀ɽɔ̀l,èdə̀ɽɔ̀l,ádə́ɽɔ́lɛ́,édə́ɽɔ́lɛ́,tortoise,tortoise,j/e??,àdə̀ɽɔ̀l,noun,
àvàlà,nàvlà,,,cat,cat,k/n,àvàlà,noun,
ŋìɾcɔ̀cɔ̀,,,,"notes, study, learning",learning,ŋ,ŋìɾcɔ̀cɔ̀,noun,
ɛ̀làɽà,nɛ̀làɽà,,,farmer,farmer,k/n,ɛ̀làɽà,noun,
ðə́láɽà,,,,farming,farming,ð,ðə́láɽà,noun,not sure of tone (only listed in isolation)
ìlŋìnɔ̀,lìŋìnɔ̀,,,sibling,sibling,k/l,ìlŋìnɔ̀,noun,
làvàrà,ŋàvàrà,lə̀vàrà,ŋə̀vàrà,stick,stick,l/ŋ,làvàrà,noun,
ɔ̀ɽàt̪à,,,,light,light,j,ɔ̀ɽàt̪à,noun,
ùɽùwɔ̀,lùtùwɔ̀,,,"bird sp.; spirit, dream",bird.sp./spirit/dream,k/l,ùɽùwɔ̀,noun,
ðə̀lə̀ŋà,ɛ̀lə̀ŋà,,,song (plural also means music),song/music,ð/j,ðə̀lə̀ŋà,noun,
ðə̀ðɛ̀ɽì,èdɛ̀ɽì,ðə̀ðɔ̀ɽɔ̀,èdɔ̀ɽɔ̀,"herb, root",herb/root,ð/j (or k??),ðə̀ðɛ̀ɽì,noun,
ìɾìcɔ̀cɔ̀,lìɾcɔ̀cɔ̀,ìɾcɔ̀cɔ̀,lìrcɛ̀cɔ̀,student (previously 'teacher' too; not anymore),student,k/l,ìɾìcɔ̀cɔ̀,noun,
ɔ̀ðə̀ŋɪ̀nà,nɔ̀ðɛ̀ŋìnà,,,hippo,hippo,k/n,ɔ̀ðə̀ŋɪ̀nà,noun,
ìrìjɔ́,ǹdrìjɔ́,,,knee,knee,,ìrìjɔ́,noun,
ðə̀bɔ́ɽɔ́,rə̀bɔ́ɽɔ́,,,thread,thread,,ðə̀bɔ́ɽɔ́,noun,
kúkù,,kúkùŋú,,Kuku,1st.born.male.child,g,kúkù,noun,
ŋwɜ́t̪í,,ŋwɜ́t̪íŋú,,Ngeti,2nd.born.male.child,g,ŋwɜ́t̪í,noun,
ŋáló,,ŋálóŋú,,Ngalo,3rd.born.male.child,g,ŋáló,noun,
ŋɜ́t̪ú,,ŋɜ́t̪úŋú,,Ngetu,4th.born.male.child,g,ŋɜ́t̪ú,noun,
kɔ́cɔ́,,kɔ́cɔ́ŋú,,Koco,5th.born.male.child,g,kɔ́cɔ́,noun,
kákà,,kákàŋú,,Kaka,1st.born.female.child,g,kákà,noun,
kɜ́ní,,kɜ́níŋú,,Keni,2nd.born.female.child,g,kɜ́ní,noun,
kúɟí,,kúɟíŋú,,Kuji,3rd.born.female.child,g,kúɟí,noun,
kɜ́cí,,kɜ́cíŋú,,Keci,4th.born.female.child,g,kɜ́cí,noun,
kɜ́lù,,kɜ́lùŋú,,Kelu,5th.born.female.child,g,kɜ́lù,noun,
ìmìdán,,ìmìdánŋwɔ́,,Himidan,Himidan,g,ìmìdán,noun,
ʃárə́n,,ʃárə́nŋwɔ́,,Sharon,Sharon,g,ʃárə́n,noun,
nínà,,nínàŋwɔ́,,Nina,Nina,g,nínà,noun,
kúmù,,,,name of Himidan Hassen’s village,village.name,g,kúmù,noun,
ɔ́ɟɔ́,,ɔ́ɟɔ́ŋá,,who,who,g,ɔ́ɟɔ́,wh_pronoun,
ɔ̀ndì,lɜ̀ndì,,,what,what,g,ɔ̀ndì,wh_pronoun,
ówà,ɲówà,,,woman,woman,k/ɲ,ówà,noun,
ðùɽùbú,,,,tree.name,tree.name,ð,ðùɽùbú,noun,
lɛ̀ɲ,,,,penis,penis,l,lɛ̀ɲ,noun,
kʊ́mbʊ̀r,,,,name of mountain,mountain.name,g?,kʊ́mbʊ̀r,noun,
kúɾí,,,,Kuri,Kuri,g,kúɾí,noun,
kǎr,,,,someone,someone,g,kǎr,wh_pronoun,
